0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
P,C,O,C,C,,,,,,,,,,
C,C,Ge,H,H,,,,,,,,,,
N,B,C,C,,,,,,,,,,,
C,C,C,Cl,,,,,,,,,,,
N,N,C,H,,,,,,,,,,,
H,P,,,,,,,,,,,,,
N,Au,S,S,,,,,,,,,,,
Hg,Cl,Cl,C,,,,,,,,,,,
S,Ni,C,,,,,,,,,,,,
C,Ir,C,C,C,,,,,,,,,,
C,C,C,C,C,,,,,,,,,,
O,H,,,,,,,,,,,,,
Si,O,O,C,O,,,,,,,,,,
Ge,Se,C,C,C,,,,,,,,,,
Pt,C,C,C,C,,,,,,,,,,
C,C,C,H,H,,,,,,,,,,
C,C,C,Fe,H,,,,,,,,,,
C,C,N,N,N,,,,,,,,,,
Au,C,C,,,,,,,,,,,,
C,B,Fe,C,C,,,,,,,,,,
C,N,N,C,C,,,,,,,,,,
C,C,C,Ru,H,,,,,,,,,,
N,C,O,C,,,,,,,,,,,
Ge,C,I,I,I,,,,,,,,,,
C,C,P,C,,,,,,,,,,,
C,C,F,F,C,,,,,,,,,,
Cl,Mo,,,,,,,,,,,,,
Ge,Br,Br,C,C,,,,,,,,,,
C,I,C,H,H,,,,,,,,,,
C,Cl,Cl,C,H,,,,,,,,,,
Si,Si,Si,Si,Si,,,,,,,,,,
C,C,Mo,C,H,,,,,,,,,,
C,C,C,Os,C,,,,,,,,,,
P,O,O,C,C,,,,,,,,,,
H,N,,,,,,,,,,,,,
N,C,C,Cu,,,,,,,,,,,
P,O,O,O,O,,,,,,,,,,
C,S,N,C,H,,,,,,,,,,
N,P,C,H,,,,,,,,,,,
C,Se,C,Fe,C,,,,,,,,,,
Hg,Cl,C,,,,,,,,,,,,
C,C,P,C,H,,,,,,,,,,
Cl,Se,,,,,,,,,,,,,
Re,C,O,O,O,,,,,,,,,,
C,O,C,C,C,,,,,,,,,,
Si,C,C,C,Pt,,,,,,,,,,
Rb,,,,,,,,,,,,,,
C,P,O,C,H,,,,,,,,,,
W,N,C,C,N,C,C,C,C,,,,,,
C,C,C,C,Si,,,,,,,,,,
Se,C,N,,,,,,,,,,,,
C,C,P,C,Os,,,,,,,,,,
Pd,C,C,,,,,,,,,,,,
C,N,N,Pd,,,,,,,,,,,
Cr,C,C,C,C,C,C,C,C,C,C,C,C,,
S,P,,,,,,,,,,,,,
H,B,,,,,,,,,,,,,
P,C,C,P,,,,,,,,,,,
Se,Sn,P,,,,,,,,,,,,
Au,Cl,C,,,,,,,,,,,,
C,Se,N,C,,,,,,,,,,,
S,S,O,C,,,,,,,,,,,
P,O,O,O,,,,,,,,,,,
C,C,Ge,C,Fe,,,,,,,,,,
O,H,H,,,,,,,,,,,,
C,C,As,H,H,,,,,,,,,,
C,I,C,,,,,,,,,,,,
P,Os,C,C,C,,,,,,,,,,
C,Ru,C,C,C,,,,,,,,,,
Se,P,C,,,,,,,,,,,,
N,C,S,H,,,,,,,,,,,
C,C,F,F,Br,,,,,,,,,,
C,Au,N,,,,,,,,,,,,
Ti,Cl,Cl,C,C,C,C,C,C,C,C,C,C,,
C,P,C,C,H,,,,,,,,,,
C,S,N,,,,,,,,,,,,
C,Se,C,Se,,,,,,,,,,,
C,C,F,F,,,,,,,,,,,
S,C,C,C,,,,,,,,,,,
C,C,I,S,,,,,,,,,,,
N,C,P,H,,,,,,,,,,,
P,C,C,Pt,C,,,,,,,,,,
C,I,I,H,H,,,,,,,,,,
Pt,Cl,Cl,Cl,Cl,C,C,,,,,,,,
C,Pt,C,C,,,,,,,,,,,
O,Ge,Ge,,,,,,,,,,,,
C,Co,C,C,H,,,,,,,,,,
N,Sb,C,C,,,,,,,,,,,
C,Si,O,H,H,,,,,,,,,,
P,C,C,C,Se,,,,,,,,,,
C,C,C,C,Fe,,,,,,,,,,
C,C,C,Si,H,,,,,,,,,,
O,Cl,,,,,,,,,,,,,
C,C,S,S,,,,,,,,,,,
Pd,P,P,Cl,Cl,,,,,,,,,,
Pt,S,P,P,S,,,,,,,,,,
C,C,C,Te,,,,,,,,,,,
P,O,O,O,N,N,,,,,,,,,
H,Rh,,,,,,,,,,,,,
C,I,C,C,,,,,,,,,,,
Pd,Cl,C,P,,,,,,,,,,,
Pd,Si,P,P,Si,,,,,,,,,,
N,O,C,C,C,,,,,,,,,,
Sb,C,S,C,C,,,,,,,,,,
C,S,O,S,O,,,,,,,,,,
C,N,S,H,H,,,,,,,,,,
C,Sn,N,H,H,,,,,,,,,,
N,S,S,C,,,,,,,,,,,
C,Ni,H,H,H,,,,,,,,,,
